순번,시설종류,시설명,지번주소,연장,차로,속도제한,통행구분,보도여부,평균보도폭상행,평균보도폭하행,보도연장상행,보도연장하행,경도,위도
22,초등학교,매천초등학교,대구 북구 매천동 173,310,6,50,양방,양측,4.5,4.5,263,252,35.91260717,128.5421775
23,초등학교(병설유치원 포함),문성초등학교,대구 북구 복현동 33,161,4,30,양방,양측,3.5,3.5,146,117,35.90527094,128.6200262
24,초등학교,복현초등학교,대구 북구 복현동 225,363,7,30,양방,양측,4.5,4.5,339,335,35.89798896,128.6214483
25,초등학교,북대구초등학교,대구 북구 산격동 420,532,2,30,양방,양측,2,2,442,295,35.90348619,128.6092763
26,초등학교,북부초등학교,대구 북구 동천동 880,193,4,30,양방,양측,3,3,176,186,35.93321748,128.5591049
27,초등학교,산격초등학교,대구 북구 산격동 1409,310,1,30,일방,편측,0,2,0,176,35.89445585,128.6069583
28,초등학교,서변초등학교,대구 북구 서변동 1749,170,2,30,양방,편측,0,2,0,82,35.92074015,128.5949477
29,초등학교(병설유치원 포함),성북초등학교,대구 북구 서변동 861,210,2,30,양방,양측,2,2,190,202,35.92628502,128.5939639
30,초등학교,신암초등학교,대구 북구 대현동 1-2,520,4,30,양방,양측,3,3,447,487,35.88360476,128.6121371
31,초등학교,옥산초등학교,대구 북구 칠성동2가 395-1,330,2,30,양방,양측,2,2,180,38,35.88153864,128.5986481
32,초등학교,운암초등학교,대구 북구 구암동 789-4,200,5,30,양방,양측,4,4,182,200,35.93535729,128.565518
33,초등학교(병설유치원 포함),조야초등학교,대구 북구 조야동 102-1,250,2,30,양방,편측,2,0,173,0,35.90983726,128.577265
34,초등학교(병설유치원 포함),칠곡초등학교,대구 북구 읍내동 794,210,2,30,양방,편측,2,0,167,0,35.94503344,128.5515292
35,초등학교,칠성초등학교,대구 북구 침산동 211,240,1,30,일방,편측,0,1.5,0,222,35.88645379,128.5937352
36,초등학교(병설유치원 포함),침산초등학교,대구 북구 침산동 465,532,4,30,양방,양측,4,3.5,497,462,35.89117501,128.5857469
37,초등학교(병설유치원 포함),태암초등학교,대구 북구 태전동 1076-8,450,2,30,양방,편측,0,2,0,390,35.92309545,128.5503578
38,초등학교,태전초등학교,대구 북구 태전동 957,275,2,30,양방,양측,2,2,223,225,35.92989613,128.5460024
39,초등학교,태현초등학교,대구 북구 태전동 317-1,390,4,30,양방,편측,4,0,341,0,35.92794466,128.5409959
40,초등학교,팔달초등학교,대구 북구 팔달동 73-4,375,4,30,양방,양측,3,3,352,305,35.89800004,128.5448354
41,초등학교(병설유치원 포함),학남초등학교,대구 북구 국우동 1079-1,240,4,30,양방,양측,3,3,233,231,35.94592626,128.5663341
42,초등학교(병설유치원 포함),학정초등학교,대구 북구 학정동 985,185,2,30,양방,양측,2.5,3,72,183,35.94824086,128.5691115
43,초등학교(병설유치원 포함),함지초등학교,대구 북구 동천동 949,200,4,30,양방,양측,3,3,121,140,35.93450974,128.55793
44,초등학교,사수초등학교,대구 북구 사수동 814,415,4,30,양방,양측,3,3,390,413,35.90074197,128.5157329
45,초등학교,삼영초등학교,대구 북구 사수동 778,165,2,30,양방,양측,3,3,100,93,35.90153888,128.5098876
46,유치원(일반),가람유치원,대구 북구 태전동 608-5,247,2,30,양방,편측,2,0,0,141,35.92017033,128.5492703
47,유치원(병설),대구과학대학부설유치원,대구 북구 태전동 388,390,4,30,양방,편측,4,0,341,0,35.92973628,128.5430959
48,유치원(일반),대원유치원,대구 북구 산격동 1202-1,135,2,30,양방,없음,0,0,0,0,35.89977841,128.6051399
49,유치원(일반),리더스유치원,대구 북구 학정동 938-10,138,2,30,양방,없음,0,0,0,0,35.95032379,128.566563
